Map corridor code,Corridor ID,Corridor name,Corridor family,Figure color,Candidate source systems,Candidate member nodes/branches,Terminal/hub logic,User-stated flow character,Evidence state,Model/GIS control,Road-network crosswalk status
FF-01,C_EASTERN_AWASH,Eastern/Awash-Afar-Adama-Addis network,Eastern,#D95F02,Tendaho–Gamery cluster; Abhe–Afambo cluster; Yardi candidate; Lake Beseka; Melka-Wakena Reservoir,Awash/Asaita-Dubti-Logia-Semera cluster; Metehara; Wonji; Adama; Modjo; Dukem; Bishoftu; Addis; Dire Dawa/Harar; Goba-Robe; Bekoji-Asela; Asasa-Dodola-Kofele-Shashemene,National terminal: Addis,Small Afar towns intercept low fractions; Beseka has documented local use at Metehara; Melka-Wakena candidate branches feed Bale/Arsi route markets; surplus may continue to Adama/Addis,User-specified candidate skeleton plus institutional Beseka evidence and expert-elicited Melka-Wakena routes,Do not force transactions at every waypoint; source-specific branch scopes prevent unrelated branch leakage,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-02,C_RIFT_ADDIS,Rift Valley-south-to-Addis network,Rift–southern,#C51B7D,Chamo; Abaya; Hawassa; Ziway; Langano; Abiyata; Koka; Bishoftu crater lakes; Koftu candidate,Hawassa; Shashemene; Arsi-Negele; Dole; Bulbula; Adami Tulu; Batu; Meki; Butajira; Bote/Alem Tena; Koka town; Modjo; Adama; Asela; Bishoftu; Dukem; Addis,National terminal: Addis,"Batu and Meki receive high local-consumption priors for Ziway/Langano; published Ziway evidence constrains Addis to 0.4067-0.4147 of matched total source mass and leaves 0.59 of marketed fish as an unresolved nearby-market aggregate","Published Ziway market-chain evidence; historical FAO Langano-to-Addis evidence; expert-elicited local splits; Koka market-chain evidence",Source-specific branches distinguish reported destinations from expert candidate extensions; the 59% Ziway nearby-market aggregate is not divided uniformly among towns,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-03,C_SOUTHWEST_MULTI,Southern and southwest multi-source network,Rift–southern,#7B3294,Small Abaya/Silti candidate; Abaya; Chamo; Gilgel Gibe III; reverse contributions from Langano/Hawassa/Ziway/Abiyata; Shalla provisional,Wolaita Sodo; Bele-Hawassa; Hosaena; Butajira; Werabe; Areka; Halaba-Kulito; Shone; Boditi; Humbo; Birbir; Lante; Arba Minch; Jinka,"Regional hubs: Arba Minch, Sodo, Jinka",Distance and Addis-targeting surplus reduce interception probability for remote off-target combinations,User-specified candidate skeleton,Several place/source identities need resolution,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-04,C_TURKANA_ADDIS,Turkana sparse-market/direct-Addis network,Rift–southern,#4D2A7A,Lake Turkana Ethiopian fishery,Jinka; Sawla; Tum candidate; Addis,Primary terminal: Addis,Few large nearby markets; most modeled surplus may bypass small settlements,User-specified candidate skeleton,Domestic/export and exact road/air modes require evidence,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-05,C_GAMBELLA_LOCAL,Gambella diffuse local fish network,Western,#018571,Akobo-Pinyudo; Tata; Gop; Alwero; Pibor; Gilo; Majang-Itang-Baro; associated wetlands/floodplains/oxbows,Pinyudo/Pugnido; Itang; Abobo; Gambella Town; diffuse regional settlements,Regional terminal: Gambella Town,"High local absorption for Heterotis and other locally preferred species; combined system is under-accounted and has a user-supplied potential ceiling up to 20,000 t/y that is not observed production",User-specified important-source architecture,Species and seasonal hydrology essential; child sources must not be summed against the parent potential ceiling,"Not asserted in v1: fish-flow corridors may span multiple river, wetland, road or cargo segments; assign only after authoritative network matching."
FF-06,C_GAMBELLA_SURPLUS,Gambella regional/surplus network,Western,#35978F,Alwero plus diffuse Gambella parent system,Abobo; Gambella; Bonga; Bure; Metu; Bedele; Jimma; Addis,Terminals: Jimma/Addis,Road surplus may leap to Jimma/Addis; Nile perch may move by air cargo; local child-source potential is not allocated automatically,User-specified candidate skeleton,Bure identity and mode/species splits require verification; combined potential is not observed production,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-07,C_GIBE_I,Gilgel Gibe I-Jimma-Addis network,Western,#7FBC41,Gilgel Gibe I Reservoir,Jimma; Wolkite; Asendabo; Deneba; Sokoru; Addis,Regional terminal: Jimma; intermittent national surplus: Addis,Local/regional absorption precedes intermittent surplus,User-specified candidate skeleton,Deneba identity and observed destination volumes needed,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-08,C_FINCHA_WEST,Fincha’a-Amerti western Oromia network,Western,#A6D854,Fincha’a Reservoir; Amerti Reservoir,Dembi Dolo; Nekemte; Gimbi; Ambo; Gedo; Bako; Ijaji; Holeta; Ginchi; Addis,Regional hubs: Nekemte/Ambo; national terminal: Addis,Dembi Dolo may also receive Gambella fish; surplus to Addis remains uncertain,User-specified candidate skeleton,The two reservoirs are independent source nodes; source-specific production and market allocation remain uncertain; network ordering and cross-corridor flows require GIS/market surveys,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-09,C_TANA_NW,Lake Tana-Geray northwest network,Northern,#2166AC,Lake Tana; Geray Reservoir,Fitche; Gohatsion; Dejen; Mota; Finote Selam; Debre Markos; Dangila; Injibara; Bahir Dar; Wereta; Hamusit; Gondar; Debre Tabor; Debark,Regional hubs: Bahir Dar/Gondar/Debre Markos,Multiple branches and small intermediate towns,User-specified candidate skeleton plus prior Tana route evidence,Do not infer one linear path; network branches need QGIS,"Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
FF-10,C_GERD_WEST,GERD/Lake Nigat western network,Northern,#4393C3,GERD/Lake Nigat fishery,Asosa; Bambasi; Gilgel Beles; Chagni; Kurmuk; Nekemte; Addis; possible overlap with northwest towns,Regional terminal: Asosa; national terminal: Addis,Large surplus to Addis is a hypothesis until quantified,User-specified candidate skeleton,"Lake Nigat naming, operational period and routes require verification","Not asserted in v1: fish-flow corridors may span multiple road, river or air segments; assign only after authoritative network matching."
