Source ID,Map short label,Source/system name,Source class,Region,Candidate corridor(s),Evidence state,Current quantity status,Longitude,Latitude,Coordinate provenance,Coordinate status
TEND_AWASH,T–G cluster,Tendaho–Gamery production cluster,Reservoir/lower Awash terminal-lake fishery cluster,Eastern,C_EASTERN_AWASH,Existing Tendaho source plus user-specified Gamery cluster; route allocation remains candidate,Current production unquantified,40.95469,11.69788,Tendaho coordinate from GeoNames; Gamari/Gummare retained as literature/GIS aliases,representative Tendaho anchor
ABHE_AFAMBO_CLUSTER,Abhe–Afambo,Abhe–Afambo terminal-lake fishery cluster,Terminal-lake fishery cluster,Eastern,C_EASTERN_AWASH,User-specified production-source cluster; flow routes remain candidate,Current production unquantified,41.73527,11.30659,Representative midpoint of ILEC/GeoNames lake coordinates; user-specified cluster 2026-08-19,representative cluster centroid
YARDI_SOURCE_UNVERIFIED,L. Yardi,Lake Yardi,Unresolved source,Eastern,C_EASTERN_AWASH,User-specified candidate,Unknown,40.4881,10.21344,GeoNames + user confirmation 2026-08-11,user-confirmed
CHAMO_LAKE,L. Chamo,Lake Chamo,Lake fishery,South Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,Existing source; candidate network expansion,Historical/scoped,37.55738,5.83632,local KML centroid,existing
ABAYA_LAKE_CHILD,L. Abaya,Lake Abaya,Lake fishery child,South Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,Existing v5 child,Sampled/scoped,37.83333,6.33333,local KML/GeoNames,existing
HAWASSA_LAKE,L. Hawassa,Lake Hawassa,Lake fishery child,Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,Existing route source,Historical/scoped,38.43333,7.05,GeoNames,existing
ZIWAY_LAKE,L. Ziway,Lake Ziway,Lake fishery,Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,"Published market-chain source; expert-elicited Batu/Meki and Rift-corridor topology","Historical/scoped; destination shares unmeasured",38.83333,8.0,local KML/GeoNames,existing
LANGANO_LAKE_CHILD,L. Langano,Lake Langano,Lake fishery child,Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,"Historical Addis supply evidence; expert-elicited Batu/Meki and Rift-corridor topology","Historical; destination shares unmeasured",38.71667,7.6,local KML/GeoNames,existing
ABIYATA_LAKE_CHILD,L. Abiyata,Lake Abiyata,Lake fishery child,Rift,C_RIFT_ADDIS; C_SOUTHWEST_MULTI,User-specified candidate source,Unknown/currently uncertain,38.6,7.61667,local KML/GeoNames,candidate
SHALLA_EMERGENT,L. Shalla,Lake Shalla,Provisional lake source,Rift,C_SOUTHWEST_MULTI,USER-SPECIFIED PROVISIONAL,Recent fish reported; no clear information,38.53333,7.48333,local KML/GeoNames,provisional
KOKA_RES,L. Koka,Koka Reservoir,"Reservoir fishery: tilapia, catfish, carp and barb",Central Oromia,C_RIFT_ADDIS,"Existing source; production and market-chain surveys available",Historical/scoped production (100-800 t/y records; periods differ),39.08333,8.38333,local KML/GeoNames,existing
BESEKA_LAKE,L. Beseka,Lake Beseka fishery,"Lake fishery: Nile tilapia and African catfish; composition is gear-specific",Central Oromia,C_EASTERN_AWASH,"Existing fishery; local Metehara consumption documented; wider routes remain expert candidates",Realized catch unquantified; modeled potential is not production,39.866667,8.866667,published lake centroid near Metehara,provisional
BISHOFTU_CRATER_LAKES,Bishoftu CL,Bishoftu crater-lake complex,Small-lake source group,Central Oromia,C_RIFT_ADDIS,User-specified source group,Unknown by lake,38.97846,8.75225,aggregate at Bishoftu,aggregate
KOFTU_DAM_UNVERIFIED,Koftu D.,Koftu Dam,Unresolved dam source,Rift/Central,C_RIFT_ADDIS,USER-SPECIFIED PROVISIONAL,Unknown,39.050146,8.833205,User-supplied coordinate 2026-08-11; original user spelling retained in audit history,user-confirmed
SMALL_ABAYA_SILTI_UNVERIFIED,L. Silti,Lake Silti,Unresolved lake identity/alias,South,C_SOUTHWEST_MULTI,USER-SPECIFIED PROVISIONAL,Unknown,38.362806,7.94363,User-supplied coordinate 2026-08-11; Small Abaya retained as an alias,user-confirmed
