Map code,Node ID,Display name,Map class,Corridor code(s),Node role,Absorption prior tier,Transit/interception role,Evidence state,Longitude,Latitude,Coordinate provenance,Coordinate status
N001,ADDIS,Addis Ababa,consumption_hub,FF-01; FF-02; FF-04; FF-06; FF-07; FF-08; FF-10; FF-13,National market/consumption/redistribution hub,NATIONAL_TERMINAL,Terminal and re-export hub,USER-SPECIFIED CANDIDATE NODE,38.74689,9.02497,GeoNames,resolved
N002,BISHOFTU,Bishoftu,source_proximate,FF-01; FF-02,Urban market/transit node,REGIONAL_HUB,Corridor interception and transit,USER-SPECIFIED CANDIDATE NODE,38.97846,8.75225,GeoNames,resolved
N003,DUKEM,Dukem,intercept_transit,FF-01; FF-02,Urban corridor market,SMALL_TOWN_LOW,Transit/interception,USER-SPECIFIED CANDIDATE NODE,38.9,8.8,GeoNames,resolved
N004,MODJO,Modjo,intercept_transit,FF-01; FF-02,Urban corridor market,LOCAL_MARKET,Transit/interception,USER-SPECIFIED CANDIDATE NODE,39.12111,8.58679,GeoNames,resolved
N005,ADAMA,Adama,consumption_hub,FF-01; FF-02,Regional consumption/market/transit hub,REGIONAL_HUB,Major source-specific absorption and onward transit,USER-SPECIFIED CANDIDATE NODE,39.26667,8.55,GeoNames/Nazret alias,resolved
N006,OLENCHITI,Olenchiti,intercept_transit,FF-01,Corridor town,SMALL_TOWN_LOW,Transit/interception,USER-SPECIFIED CANDIDATE NODE,39.43333,8.66667,GeoNames/Welenchiti alias,resolved
N007,ARERTI,Arerti,intercept_transit,FF-01,Corridor town,SMALL_TOWN_LOW,Branch/interception,USER-SPECIFIED CANDIDATE NODE,39.4,8.83333,GeoNames context match,context-resolved
N008,METEHARA,Metehara,intercept_transit,FF-01,Corridor town/market,LOCAL_MARKET,Transit/interception,USER-SPECIFIED CANDIDATE NODE,39.91667,8.9,GeoNames,resolved
N009,DIRE_DAWA,Dire Dawa,consumption_hub,FF-01,Major regional city/market,REGIONAL_HUB,Eastern branch terminal/transit,USER-SPECIFIED CANDIDATE NODE,41.86611,9.59306,GeoNames,resolved
N010,HARAR,Harar,consumption_hub,FF-01,Major regional city/market,REGIONAL_HUB,Eastern branch terminal,USER-SPECIFIED CANDIDATE NODE,42.11815,9.31387,GeoNames,resolved
N011,AWASH_ARBA,Awash Arba,intercept_transit,FF-01,Small corridor market,LOW_CORRIDOR,Low absorption; transit possible,USER-SPECIFIED CANDIDATE NODE,40.168853,9.128642,User-supplied coordinate 2026-08-11,user-confirmed
N012,SEMERA,Semera,intercept_transit,FF-01,Regional administrative market,LOW_CORRIDOR,Low absorption prior for fish,USER-SPECIFIED CANDIDATE NODE,41.00578,11.79342,GeoNames,resolved
N013,DUBTI,Dubti,source_proximate,FF-01,Local corridor market,LOW_CORRIDOR,Low absorption prior,USER-SPECIFIED CANDIDATE NODE,41.082,11.73292,GeoNames,resolved
N014,ASAYITA,Asaita,source_proximate,FF-01,Local corridor market,LOW_CORRIDOR,Low absorption prior,USER-SPECIFIED CANDIDATE NODE,41.43869,11.56838,GeoNames; Aisaita retained as an alias,resolved
N015,LOGIA,Logia,source_proximate,FF-01,Local corridor market,LOW_CORRIDOR,Low absorption prior,USER-SPECIFIED CANDIDATE NODE,40.9797,11.72615,GeoNames,resolved
